#,Company,Symbol,YTD Return
232,DUPONT DE NEMOURS INC,DD,0.76%
233,INTERPUBLIC GROUP OF COS INC,IPG,0.61%
234,FORD MOTOR CO,F,0.61%
235,AIRBNB INC CLASS A,ABNB,0.56%
236,NXP SEMICONDUCTORS NV,NXPI,0.48%
237,PFIZER INC,PFE,0.41%
238,THE CAMPBELL S COMPANY,CPB,0.38%
239,BAKER HUGHES CO,BKR,0.34%
240,LOEWS CORP,L,0.30%
241,BECTON DICKINSON AND CO,BDX,0.26%
242,WARNER BROS DISCOVERY INC,WBD,0.19%
243,ARCHER DANIELS MIDLAND CO,ADM,0.18%
244,SEAGATE TECHNOLOGY HOLDINGS,STX,0.12%
245,REGENCY CENTERS CORP,REG,0.01%
246,SNAP ON INC,SNA,-0.01%
247,TARGA RESOURCES CORP,TRGP,-0.03%
248,BROWN FORMAN CORP CLASS B,BF.B,-0.05%
249,FORTIVE CORP,FTV,-0.11%
250,WILLIAMS COS INC,WMB,-0.18%
251,AVERY DENNISON CORP,AVY,-0.33%
252,CONAGRA BRANDS INC,CAG,-0.47%
253,AMETEK INC,AME,-0.49%
254,TEXAS INSTRUMENTS INC,TXN,-0.54%
255,INTEL CORP,INTC,-0.60%
256,OMNICOM GROUP,OMC,-0.62%
257,NEWS CORP CLASS A,NWSA,-0.69%
258,LENNOX INTERNATIONAL INC,LII,-0.77%
259,TYLER TECHNOLOGIES INC,TYL,-0.93%
260,HUMANA INC,HUM,-0.97%
261,FIRSTENERGY CORP,FE,-1.03%
262,NORTHERN TRUST CORP,NTRS,-1.15%
263,EQUITY RESIDENTIAL,EQR,-1.23%
264,JOHNSON CONTROLS INTERNATION,JCI,-1.28%
265,FRANKLIN RESOURCES INC,BEN,-1.28%
266,TEXTRON INC,TXT,-1.37%
267,PULTEGROUP INC,PHM,-1.38%
268,LOCKHEED MARTIN CORP,LMT,-1.39%
269,BIOGEN INC,BIIB,-1.45%
270,EVEREST GROUP LTD,EG,-1.45%
271,VERALTO CORP,VLTO,-1.49%
272,AVALONBAY COMMUNITIES INC,AVB,-1.64%
273,C.H. ROBINSON WORLDWIDE INC,CHRW,-1.70%
274,MONOLITHIC POWER SYSTEMS INC,MPWR,-1.71%
